family,scientific_name,common_name,lifestyle,mr_sample_size,mr_mass_grams,mr_temp_celcius,whole_organism_mr_watts,amat,amax,repro_output,rmax,m_rtype,trophic_position,tro_standard_error
carcharhinidae,Negaprion_brevirostris,lemon_shark,pelagic,20,2770,20.6,0.695431583333333,12.7,37,2,0.151797972475082,rmr,NA,NA
salmonidae,Oncorhynchus_gorbuscha,pink_salmon,pelagic,NA,1600,15,0.88125,2,3,223.06625670706,1.03421106681648,rmr,NA,NA
salmonidae,Oncorhynchus_nerka,sockeye_salmon,pelagic,15,2550,15,1.07690776809,4,5,1526.46979920507,0.85252476725294,rmr,NA,NA
sparidae,Pagrus_auratus,australasian_snapper,benthopelagic,8,100,17,0.0931520033696272,3,65,17.2208158198723,0.90528284548891,rmr,NA,NA
sparidae,Pagrus_major,red_sea_bream,benthopelagic,5,900,20,0.48645,3,16,5.70053584727235,0.261057239375476,rmr,NA,NA
pleuronectidae,Platichthys_stellatus,starry_flounder,benthic,8,1340.375,10.8,0.175400634765625,3,17,424.504771172307,0.737489784276582,rmr,NA,NA
pleuronectidae,Platichthys_stellatus,starry_flounder,benthic,6,1303.833333,18.91666667,0.371848920314895,3,17,424.504771172307,0.737489784276582,rmr,NA,NA
pleuronectidae,Pleuronectes_platessa,plaice,benthic,10,226,10,0.03785662,2.9,28,3.73365884598347,0.369287502255818,rmr,NA,NA
pleuronectidae,Pleuronectes_platessa,plaice,benthic,5,281.16,15,0.0560626011,2.9,28,3.73365884598347,0.369287502255818,rmr,NA,NA
gadidae,Pollachius_virens,saithe,pelagic,10,151.8,10,0.0582659,4.6,25,151.993716652621,0.650271661190961,rmr,NA,NA
gadidae,Pollachius_virens,saithe,pelagic,8,485,10,0.12879175,4.6,25,151.993716652621,0.650271661190961,rmr,NA,NA
pomatomidae,Pomatomus_saltatrix,bluefish,pelagic,NA,217,15,0.132587,1,15,1.39818401368535,0.386985906847656,rmr,NA,NA
pristidae,Pristis_pristis,largetooth_sawfish,benthic,5,2350,20.1,0.228661477193568,8.5,35,3.65,0.262409067120729,rmr,NA,NA
pleuronectidae,Pseudopleuronectes_americanus,winter_flounder,benthic,3,24.3,9.9,0.005234625,3,16,25.8157246077805,0.470986105085553,rmr,NA,NA
pleuronectidae,Pseudopleuronectes_americanus,winter_flounder,benthic,3,21.4,10.7,0.005029,3,16,25.8157246077805,0.470986105085553,rmr,NA,NA
dasyatidae,Pteroplatytrygon_violacea,pelagic_stingray,pelagic,9,15488.8888888889,20,3.01182527777778,3,11,3,0.479655920071003,rmr,NA,NA
rachycentridae,Rachycentron_canadum,cobia,pelagic,8,382.94,25,0.228426901166667,2,11,45.101609071646,0.920934074713849,rmr,NA,NA
pleuronectidae,Reinhardtius_hippoglossoides,greenland_halibut,benthopelagic,14,1465,5,0.103397258333333,12.5,33,716.399279465416,0.20773157116676,rmr,NA,NA
rhinopteridae,Rhinoptera_bonasus,cownose_ray,benthopelagic,6,4825,21.85,1.6371895138259,4.5,18,0.5,0.123988105450475,rmr,NA,NA
rhinopteridae,Rhinoptera_bonasus,cownose_ray,benthopelagic,4,850,19.575,0.2374528125,4.5,18,0.5,0.123988105450475,rmr,NA,NA
rajidae,Rostroraja_eglanteria,clearnose_skate,benthic,18,1289.69444444444,20,0.316889455336389,5,8,15.25,0.531295223140556,rmr,NA,NA
clupeidae,Sardinops_sagax,south_african_pilchard,pelagic,10,146.4,16.2,0.0051606,2,10,11.0657949502161,0.731001530273461,rmr,NA,NA
clupeidae,Sardinops_sagax,pacific_sardine,pelagic,NA,3.2,15,0.00066789037037037,2,10,11.0657949502161,0.731001530273461,rmr,NA,NA
scombridae,Scomber_japonicus,chub_mackerel,pelagic,13,97.3076923076923,24,0.0654384615384615,2,11,20.7649084691963,0.882490388765889,rmr,NA,NA
scombridae,Scomber_japonicus,chub_mackerel,pelagic,9,93.2,14,0.03131986,2,11,20.7649084691963,0.882490388765889,rmr,NA,NA
scombridae,Scomber_scombrus,atlantic_mackerel,pelagic,37,413,9.9,0.0779660770863333,2,23,1.23445633862007,0.281714432772858,rmr,NA,NA
scophthalmidae,Scophthalmus_maximus,turbot,benthic,NA,450,14,0.0525225,2,17,138.336034290167,0.3304774591437,rmr,NA,NA
scyliorhinidae,Scyliorhinus_canicula,lesser_spotted_dogfish,benthic,36,322.671105744444,15,0.0499288859651157,7,12,22.75,0.460906915915813,rmr,NA,NA
scyliorhinidae,Scyliorhinus_stellaris,nursehound,benthic,12,1735,17.5,0.32618,4,19,6.75,0.572431322642875,rmr,NA,NA
sebastidae,Sebastes_flavidus,yellowtail_rockfish,benthopelagic,20,1224.4,10,0.236389861465355,7,64,4.61697216760426,0.264964353064367,rmr,NA,NA
sebastidae,Sebastolobus_alascanus,shortspine_thornyhead,benthic,16,356.424966725,9,0.0158052034219427,9,80,1.23862332645119,0.101662913218561,rmr,NA,NA
sebastidae,Sebastolobus_altivelis,longspine_thornyhead,benthic,6,103.633333333333,5.7,0.00170007009722222,13.5,45,6.02243188798403,0.0442773460339349,rmr,NA,NA
carangidae,Seriola_quinqueradiata,yellowtail,pelagic,47,989,19.2,3.427426904748,2,12,18.6782551916898,0.709471880907262,rmr,NA,NA
soleidae,Solea_solea,common_sole,benthic,8,150,16,0.0191040212625,3,26,4.04591652827061,0.285558705103503,rmr,NA,NA
somniosidae,Somniosus_microcephalus,greenland_shark,benthopelagic,1,40800,4.9,1.967138,183,392,40.75,0.0347845171720394,rmr,NA,NA
somniosidae,Somniosus_pacificus,pacific_sleeper_shark,benthopelagic,1,40000,7.6,2.24033333333333,135,200,23.5,0.040340401435296,rmr,NA,NA
sphyrnidae,Sphyrna_lewini,scalloped_hammerhead,pelagic,17,690.1176471,21,0.435176686300475,5.8,18.6,11,0.477554538731363,rmr,NA,NA
sphyrnidae,Sphyrna_tiburo,bonnethead_shark,benthopelagic,8,1000,28.5,0.67915,4,12,5.5,0.49437418996086,rmr,NA,NA
clupeidae,Sprattus_sprattus,sprat,pelagic,25,3.26,12.4,0.002030165,0.5,6,12.3607118243148,2.08066972087493,rmr,NA,NA
clupeidae,Sprattus_sprattus,sprat,pelagic,20,3.14,15.1,0.00242277166666667,0.5,6,12.3607118243148,2.08066972087493,rmr,NA,NA
squalidae,Squalus_acanthias,spiny_dogfish,benthopelagic,23,2400,21,0.384048858939169,9.1,40,1.125,0.159589731279543,rmr,NA,NA
squalidae,Squalus_acanthias,spiny_dogfish,benthopelagic,21,2400,17,0.357900044073598,9.1,40,1.125,0.159589731279543,rmr,NA,NA
squalidae,Squalus_suckleyi,pacific_spiny_dogfish,benthopelagic,5,1854,10,0.2352726,35.5,80,1.63,0.0672989670965966,rmr,NA,NA
tetraodontinae,Takifugu_rubripes,japanese_pufferfish,benthopelagic,NA,538,20,0.34075,2,12,49.1130976012141,1.26785630019076,rmr,NA,NA
scombridae,Thunnus_albacares,yellowfin_tuna,pelagic,12,2170,27.5,2.15028916666667,1,9.7,4.95795311165511,0.750451715812365,rmr,NA,NA
scombridae,Thunnus_albacares,yellowfin_tuna,pelagic,5,5400,23.5,1.92465,1,9.7,4.95795311165511,0.750451715812365,rmr,NA,NA
scombridae,Thunnus_obesus,bigeye_tuna,pelagic,3,2030,28.5,2.56811916666667,3,16,2.24378566682839,0.0433449203053923,rmr,NA,NA
scombridae,Thunnus_orientalis,pacific_bluefin_tuna,pelagic,6,8300,23.5,3.901,3,26,81.27915471519,0.743348292518265,rmr,NA,NA
torpedinidae,Torpedo_marmorata,marbled_electric_ray,benthic,8,1885.375,16.1875,0.248311154049479,12.5,20,2.75,0.151359676287202,rmr,NA,NA
carangidae,Trachurus_capensis,cape_horse_mackerel,pelagic,5,12.74,18,0.0212048333333333,2,15,1.81022672180609,0.040070969822718,rmr,NA,NA
carangidae,Trachurus_trachurus,atlantic_horse_mackerel,pelagic,56,359.6,12.1,0.0553655143333333,2.5,40,1.18384382579466,0.222544069528646,rmr,NA,NA
carcharhinidae,Triaenodon_obesus,whitetip_reef_shark,benthic,2,1540,27.2,0.420873265825791,8,16,1.4,0.153457430113857,rmr,NA,NA
triakidae,Triakis_semifasciata,leopard_shark,benthopelagic,10,970,14,0.243938839916667,10,25,9.35,0.289261637926501,rmr,NA,NA
triakidae,Triakis_semifasciata,leopard_shark,benthopelagic,NA,4000,16,1.645,10,25,9.35,0.289261637926501,rmr,NA,NA
urotrygonidae,Urobatis_halleri,round_stingray,benthic,33,265.454545454545,23,0.195907533989899,3.8,14,1.75,0.313689897192163,rmr,NA,NA
urotrygonidae,Urobatis_halleri,round_stingray,benthic,33,258.818181818182,15,0.0789204903282828,3.8,14,1.75,0.313689897192163,rmr,NA,NA
rajidae,Amblyraja_radiata,thorny_skate,benthic,15,1439.33333333333,5,0.236146096066378,11,28,7.5,0.253487417475029,mmr,NA,NA
rajidae,Amblyraja_radiata,thorny_skate,benthic,8,1322.5,13,0.260558841952083,11,28,7.5,0.253487417475029,mmr,NA,NA
ammodytidae,Ammodytes_tobianus,lesser_sand-eel,benthic,7,3.3,10,0.00623502,1,7,24.1166611920648,2.24938025162531,mmr,NA,NA
anoplopomatidae,Anoplopoma_fimbria,sablefish,pelagic,5,993,8.5,2.302436,4,92,3.63908306494826,0.473253628115845,mmr,NA,NA
carcharhinidae,Carcharhinus_leucas,bull_shark,pelagic,9,2750,29.63,5.82939041666667,9.5,27,2.25,0.190907874016428,mmr,NA,NA
carcharhinidae,Carcharhinus_leucas,bull_shark,pelagic,6,2810,21.91,4.36161175,9.5,27,2.25,0.190907874016428,mmr,NA,NA
carcharhinidae,Carcharhinus_limbatus,blacktip_shark,pelagic,8,1290,33.74,3.35496105,6.4,23.5,1.13,0.186202621399858,mmr,NA,NA
carcharhinidae,Carcharhinus_limbatus,blacktip_shark,pelagic,6,1130,22.18,2.73959083333333,6.4,23.5,1.13,0.186202621399858,mmr,NA,NA
carcharhinidae,Carcharhinus_melanopterus,blacktip_reef_shark,benthopelagic,8,1020,30,1.29002545,8.5,25,1,0.14078988953422,mmr,NA,NA
carcharhinidae,Carcharhinus_plumbeus,sandbar_shark,pelagic,14,5075,24,5.00438836607143,18,40,2.1,0.116185294945653,mmr,NA,NA
serranidae,Centropristis_striata,black_sea_bass,benthopelagic,14,328.9285714,29.64642857,0.611149128973334,2,15,13.8653404158325,0.728775581779795,mmr,NA,NA
serranidae,Centropristis_striata,black_sea_bass,benthopelagic,10,349.845,13.1445,0.39021988260625,2,15,13.8653404158325,0.728775581779795,mmr,NA,NA
clupeidae,Clupea_pallasii,pacific_herring,pelagic,23,1.3,8.5,0.0092872,2.5,19,21.7251781250149,0.938711380239313,mmr,NA,NA
moronidae,Dicentrarchus_labrax,european_bass,pelagic,19,514,14,0.6824635,5.5,30,7.5047021174903,0.135111749311967,mmr,NA,NA
engraulidae,Engraulis_ringens,peruvian_anchovetta,pelagic,NA,12.6,15,0.0475508985,0.5,3,68.6807511188851,1.71781992605084,mmr,NA,NA
gadidae,Gadus_macrocephalus,pacific_cod,benthopelagic,8,1500,11,1.07659671833649,4.4,25,104.236628079937,0.584832624875259,mmr,NA,NA
gadidae,Gadus_morhua,atlantic_cod,benthopelagic,12,371.1,10,0.330520215,2.9,15,350.864044834248,0.917509351721204,mmr,NA,NA
gadidae,Gadus_morhua,atlantic_cod,benthopelagic,11,298.4,15,0.290430233333333,2.9,15,350.864044834248,0.917509351721204,mmr,NA,NA
hemiscylliidae,Hemiscyllium_ocellatum,epaulette_shark,benthic,14,20.0357142857143,27,0.0115755946308682,4,8,10,0.571428261078155,mmr,NA,NA
heterodontidae,Heterodontus_francisci,horn_shark,benthic,19,1746.61578947368,18,1.75431082529134,5,22,7,0.484793285371664,mmr,NA,NA
heterodontidae,Heterodontus_portusjacksoni,portjackson_shark,benthic,16,82.40625,20.6,0.074022888671875,12.5,33,8,0.235347955699171,mmr,NA,NA
heterodontidae,Heterodontus_portusjacksoni,portjackson_shark,benthic,13,89.8615384615385,17.6,0.0651058048782051,12.5,33,8,0.235347955699171,mmr,NA,NA
lamnidae,Isurus_oxyrinchus,mako_shark,pelagic,1,5900,20,10.2832083333333,11,31,3,0.192516801635039,mmr,NA,NA
scombridae,Katsuwonus_pelamis,skipjack_tuna,pelagic,18,1700,27.5,14.6483333333333,1,12,5.28394128430019,1.31217988143934,mmr,NA,NA
rajidae,Leucoraja_erinacea,little_skate,benthic,7,26.1428571428571,20,0.0227166666666667,9.5,18,23,0.366249111181448,mmr,NA,NA
rajidae,Leucoraja_erinacea,little_skate,benthic,7,25.5714285714286,15,0.0259283333333333,9.5,18,23,0.366249111181448,mmr,NA,NA
osmeridae,Mallotus_villosus,capelin,pelagic,3,26.83,5,0.0559468103333333,2.5,6,1506.72560798372,1.41852453493428,mmr,NA,NA
gadidae,Melanogrammus_aeglefinus,haddock,benthopelagic,5,155.9,15,0.244243333333333,2.5,15,245.148561254285,1.5447425463445,mmr,NA,NA
gadidae,Merlangius_merlangus,whiting,benthopelagic,8,297,10,0.18681795,2,15,123.409453555582,1.16989703121347,mmr,NA,NA
sciaenidae,Micropogonias_undulatus,atlantic_croaker,benthopelagic,15,274,25,0.932793333333333,1,17,2.63139932149393,0.95977916607253,mmr,NA,NA
moronidae,Morone_saxatilis,striped_bass,benthopelagic,16,1300,20,1.37933101234382,5.3,21,168.113962600677,0.562422547756674,mmr,NA,NA
serranidae,Mycteroperca_microlepis,gag_grouper,benthic,13,1943,30,2.71330389529331,3,30,4.72143361707247,0.34501951674536,mmr,NA,NA
serranidae,Mycteroperca_microlepis,gag_grouper,benthic,13,1900,15,1.20956261420904,3,30,4.72143361707247,0.34501951674536,mmr,NA,NA
carcharhinidae,Negaprion_brevirostris,lemon_shark,pelagic,10,1395,29.13,2.174681775,12.7,37,2,0.151797972475082,mmr,NA,NA
carcharhinidae,Negaprion_brevirostris,lemon_shark,pelagic,1,1050,22,1.324925,12.7,37,2,0.151797972475082,mmr,NA,NA
salmonidae,Oncorhynchus_gorbuscha,pink_salmon,pelagic,8,1600,15,6.3168,2,3,223.06625670706,1.03421106681648,mmr,NA,NA
salmonidae,Oncorhynchus_nerka,sockeye_salmon,pelagic,15,2550,15,7.0008568938,4,5,1526.46979920507,0.85252476725294,mmr,NA,NA
sparidae,Pagrus_auratus,australasian_snapper,benthopelagic,8,100,17,0.231728779799622,3,65,17.2208158198723,0.90528284548891,mmr,NA,NA
pleuronectidae,Pleuronectes_platessa,plaice,benthic,5,281.16,15,0.1982178,2.9,28,3.73365884598347,0.369287502255818,mmr,NA,NA
gadidae,Pollachius_virens,saithe,pelagic,10,151.8,10,0.3507845,4.6,25,151.993716652621,0.650271661190961,mmr,NA,NA
gadidae,Pollachius_virens,saithe,pelagic,8,485,10,0.598178791666667,4.6,25,151.993716652621,0.650271661190961,mmr,NA,NA
pomatomidae,Pomatomus_saltatrix,bluefish,pelagic,NA,221.1,15,0.5815075,1,15,1.39818401368535,0.386985906847656,mmr,NA,NA
pleuronectidae,Pseudopleuronectes_americanus,winter_flounder,benthic,5,325,8,0.0771997059166667,3.3,16,9.96609387584566,0.120470046377848,mmr,NA,NA
rachycentridae,Rachycentron_canadum,cobia,pelagic,8,382.94,25,1.525345755,2,11,45.101609071646,0.920934074713849,mmr,NA,NA
pleuronectidae,Reinhardtius_hippoglossoides,greenland_halibut,benthopelagic,12,80,5,0.039433,12.5,33,716.399279465416,0.20773157116676,mmr,NA,NA
rajidae,Rostroraja_eglanteria,clearnose_skate,benthic,18,1289.69444444444,20,0.810138233628009,5,8,15.25,0.531295223140556,mmr,NA,NA
clupeidae,Sardinops_sagax,pacific_sardine,pelagic,NA,3.2,15,0.0104985671822222,2,10,11.0657949502161,0.731001530273461,mmr,NA,NA
scombridae,Scomber_japonicus,japanese_amberjack,pelagic,NA,1000,24,3.88846666666667,2,11,20.7649084691963,0.882490388765889,mmr,NA,NA
scombridae,Scomber_scombrus,amberjack,pelagic,NA,1150,17,2.1400275,2,23,1.23445633862007,0.281714432772858,mmr,NA,NA
scophthalmidae,Scophthalmus_maximus,turbot,benthic,NA,450,14,0.31143375,2,17,138.336034290167,0.3304774591437,mmr,NA,NA
scyliorhinidae,Scyliorhinus_canicula,spotted_catshark,benthic,6,355.75,12.7,0.234045195,7,12,22.75,0.460906915915813,mmr,NA,NA
sebastidae,Sebastes_melanops,black_rockcod,benthopelagic,5,6,12,0.00474136,7,50,110.561481027974,0.553409987580329,mmr,NA,NA
soleidae,Solea_solea,common_sole,benthic,8,150,16,0.08313125,3,26,4.04591652827061,0.285558705103503,mmr,NA,NA
sphyrnidae,Sphyrna_lewini,scalloped_hammerhead,pelagic,9,690.1176471,26,1.35418335302197,5.8,18.6,11,0.477554538731363,mmr,NA,NA
squalidae,Squalus_acanthias,spiny_dogfish,benthopelagic,23,2400,21,1.38025436111104,9.1,40,1.125,0.159589731279543,mmr,NA,NA
squalidae,Squalus_acanthias,spiny_dogfish,benthopelagic,21,2400,17,0.966201661297146,9.1,40,1.125,0.159589731279543,mmr,NA,NA
squalidae,Squalus_suckleyi,spiny_dogfish,benthopelagic,5,1854,10,0.6419166,35.5,80,1.63,0.0672989670965966,mmr,NA,NA
scombridae,Thunnus_albacares,yellowfin_tuna,pelagic,12,2170,27.5,10.1140083333333,1,9.7,4.95795311165511,0.750451715812365,mmr,NA,NA
carangidae,Trachurus_trachurus,atlantic_horse_mackerel,pelagic,56,359.6,12.1,0.645527249666667,2.5,40,1.18384382579466,0.222544069528646,mmr,NA,NA
triakidae,Triakis_semifasciata,leopard_shark,benthopelagic,NA,4000,16,2.61633333333333,10,25,9.35,0.289261637926501,mmr,NA,NA
rajidae,Amblyraja_radiata,thorny_skate,benthic,15,1439.33333333333,5,0.139744302414178,11,28,7.5,0.253487417475029,as,NA,NA
rajidae,Amblyraja_radiata,thorny_skate,benthic,8,1322.5,13,0.103040529079458,11,28,7.5,0.253487417475029,as,NA,NA
ammodytidae,Ammodytes_tobianus,lesser_sand-eel,benthic,7,3.4,10,0.00550511,1,7,24.1166611920648,2.24938025162531,as,NA,NA
anoplopomatidae,Anoplopoma_fimbria,sablefish,pelagic,5,993,8.5,2.0970836,4,92,3.63908306494826,0.473253628115845,as,NA,NA
carcharhinidae,Carcharhinus_leucas,bull_shark,pelagic,6,2750,29.63,3.82946208333333,9.5,27,2.25,0.190907874016428,as,NA,NA
carcharhinidae,Carcharhinus_leucas,bull_shark,pelagic,4,2810,21.91,2.5317819,9.5,27,2.25,0.190907874016428,as,NA,NA
carcharhinidae,Carcharhinus_melanopterus,blacktip_reef_shark,benthopelagic,8,1050,30,0.91289275,8.5,25,1,0.14078988953422,as,NA,NA
carcharhinidae,Carcharhinus_plumbeus,sandbar_shark,pelagic,14,5075,24,2.20224753827833,18,40,2.1,0.116185294945653,as,NA,NA
serranidae,Centropristis_striata,black_sea_bass,benthopelagic,14,328.9285714,29.64642857,0.395798144462522,2,15,13.8653404158325,0.728775581779795,as,NA,NA
serranidae,Centropristis_striata,black_sea_bass,benthopelagic,10,349.845,13.1445,0.32927495945875,2,15,13.8653404158325,0.728775581779795,as,NA,NA
moronidae,Dicentrarchus_labrax,european_bass,pelagic,19,514,14,0.569726166666667,5.5,30,7.5047021174903,0.135111749311967,as,NA,NA
