"Family","ScientificName","CommonName","TeleostOrElasmo","Lifestyle","MROriginLocation","MRSampleSize","MRCitation","MRMassGrams","MRTempCelcius","WholeOrganismMRWatts","Amat","Amax","ReproOutput","Rmax","DFtype","MRtype"
"Pleuronectidae","Hippoglossus hippoglossus","Atlantic halibut","Teleost","Benthic","Sterling University, Scotland, captive from fish farm (source population Isle of Man stock)",NA,"Auchterlonie, N. A. (1998). Oxygen consumption and bioenergetics of the Atlantic halibut (Hippoglossus hippoglossus L.): implications for culture.",100,14,0.0264766666666667,10,38,1091.54049219523,0.397070549620122,"Both","RMR"
"Dasyatidae","Hypanus americanus","Southern stingray","Elasmo","Benthic","born at the Aquarium, East Coast USA (likely caught off the coast of FL)",6,"Fournier, R.W. (1996). The metabolic rate of two species of benthic elasmobranchs, nurse sharks and southern stingrays. Master's Thesis, Hofstra University.",310,23,0.25606775,5.5,17,1.25,0.201998667619362,"Both","RMR"
"Dasyatidae","Hypanus sabinus","Atlantic stingray","Elasmo","Benthic","Port Aransas, Texas, GOM",10,"Cameron, J. N., Randall, D. J., & Davis, J. C. (1971). Regulation of the ventilation-perfusion ratio in the gills of Dasyatis sabina and Squalus suckleyi.ÊComparative Biochemistry and Physiology Part A: Physiology,Ê39(3), 505-519.",491.4,22.86,0.168405237,3,17,1.3,0.334871143478623,"BigN","RMR"
"Dasyatidae","Hypanus sabinus","Atlantic stingray","Elasmo","Benthic","St. JosephâÃÃ´s Bay, Gulf County, Florida ",7,"Di Santo, V., and Bennett, W. A. (2011). Effect of rapid temperature change on resting routine metabolic rates of two benthic elasmobranchs. Fish Physiol Biochem 37, 929-934.",676,21,0.503212826046667,3,17,1.3,0.334871143478623,"MeanT","RMR"
"Lamnidae","Isurus oxyrinchus","Mako shark","Elasmo","Pelagic","Southern California, USA ",9,"Sepulveda, C. A., Graham, J. B., & Bernal, D. (2007). Aerobic metabolic rates of swimming juvenile mako sharks, Isurus oxyrinchus.ÊMarine Biology,Ê152, 1087-1094.",6090,21.8,2.95771,11,31,3,0.192516801635039,"Both","RMR"
"Scombridae","Katsuwonus pelamis","Skipjack tuna","Teleost","Pelagic","purchased from local fishermen and housed at the Kewalo Research Facility of the National Marine Fisheries Service",32,"Brill, R. W. (1979) The effect of body size on the standard metabolic rate of skipjack tuna, Katsuwonus pelamis. Fishery Bulletin 77, 494-498",1689.6248540625,28,2.04262491786458,1,12,5.28394128430019,1.31217988143934,"BigN","RMR"
"Scombridae","Katsuwonus pelamis","Skipjack tuna","Teleost","Pelagic","purchased from local fishermen and maintained at the Kewalo Research Facility (Southwest Fisheries Center Honolulu Laboratory, National Marine Fisheries Service, NOAA)",5,"Brill, R. W. (1987) On the standard metabolic rates of tropical tunas, including the effect of body size and acute temperature change. Fishery Bulletin 85, 25-35",630.6,23.5,0.64155,1,12,5.28394128430019,1.31217988143934,"MeanT","RMR"
"Rajidae","Leucoraja erinacea","Little skate","Elasmo","Benthic","from the Marine Resources Division at Woods Hole, Massachusetts, USA",7,"Hove, J. R., & Moss, S. A. (1997). Effect of MS-222 on response to light and rate of metabolism of the little skate Raja erinacea. Marine Biology 128, 579-583.",500,10,0.0393625,7.5,12.5,15,0.387954671308783,"BigN","RMR"
"Rajidae","Leucoraja erinacea","Little skate","Elasmo","Benthic","Gulf of Maine",7,"Di Santo, V. (2016). Intraspecific variation in physiological performance of a benthic elasmobranch challenged by ocean acidification and warming.ÊJournal of Experimental Biology,Ê219(11), 1725-1733.",25.5714285714286,15,0.00341869047619048,9.5,18,23,0.366249111181448,"MeanT","RMR"
"Osmeridae","Mallotus villosus","Capelin","Teleost","Pelagic","Barents Sea",23,"Karamushko, L. I., & Christiansen, J. S. (2002). Aerobic scaling and resting metabolism in oviferous and post-spawning Barents Sea capelin Mallotus villosus villosus (Mller, 1776).ÊJournal of experimental marine biology and ecology,Ê269(1), 1-8.",28.3,3.75,0.0131146916666667,2.5,6,1506.72560798372,1.41852453493428,"BigN","RMR"
"Osmeridae","Mallotus villosus","Capelin","Teleost","Pelagic","Barents Sea",21,"Behrens, J. W., Pr¾bel, K., & Steffensen, J. F. (2006). Swimming energetics of the Barents Sea capelin (Mallotus villosus) during the spawning migration period.ÊJournal of Experimental Marine Biology and Ecology,Ê331(2), 208-216.",26.83,5,0.00900571308333333,2.5,6,1506.72560798372,1.41852453493428,"MeanT","RMR"
"Gadidae","Melanogrammus aeglefinus","Haddock","Teleost","Benthopelagic","Somewhere around Scotland, UK",5,"Tytler (1977), The influence of swimming on performance on the metabolic rate of gadoid fish in: FISH, O. G. (2013, October). Peter Tytler. In Physiology and Behaviour of Marine Organisms: Proceedings of the 12th European Symposium on Marine Biology, Stirling, Scotland, September 1977 (p. 83). Elsevier.",155.9,15,0.0879276,2.5,15,245.148561254285,1.5447425463445,"Both","RMR"
"Gadidae","Merlangius merlangus","Whiting","Teleost","Benthopelagic","Denmark",8,"Steinhausen, M. F., Steffensen, J. F., and Andersen, N. G. (2005) Tail beat frequency as a predictor of swimming speed and oxygen consumption of saithe (Pollachius virens) and whiting (Merlangius merlangus) during forced swimming. Marine Biology 148, 197-204.",297,10,0.08770905,2,15,123.409453555582,1.16989703121347,"Both","RMR"
"Sciaenidae","Micropogonias undulatus","Atlantic croaker","Teleost","Benthopelagic","U.S. east coast",19,"Horodysky, A. Z., Brill, R. W., Bushnell, P. G., Musick, J. A., and Latour, R. J. (2011) Comparative metabolic rates of common western North Atlantic Ocean sciaenid fishes. Journal of Fish Biology 79, 235-255",317.063459368421,25,0.131085974811403,1,17,2.63139932149393,0.95977916607253,"BigN","RMR"
"Sciaenidae","Micropogonias undulatus","Atlantic croaker","Teleost","Benthopelagic","U.S. east coast",5,"Horodysky, A. Z., Brill, R. W., Bushnell, P. G., Musick, J. A., and Latour, R. J. (2011) Comparative metabolic rates of common western North Atlantic Ocean sciaenid fishes. Journal of Fish Biology 79, 235-255",157.034798,15,0.043289473375,1,17,2.63139932149393,0.95977916607253,"MeanT","RMR"
"Moronidae","Morone saxatilis","Striped bass","Teleost","Benthopelagic","Cheasapeake Bay",16,"Lapointe, D., Vogelbein, W. K., Fabrizio, M. C., Gauthier, D. T., & Brill, R. W. (2014). Temperature, hypoxia, and mycobacteriosis: effects on adult striped bass Morone saxatilis metabolic performance.ÊDiseases of aquatic organisms,Ê108(2), 113-127.",1300,20,0.364259950442909,5.3,21,168.113962600677,0.562422547756674,"Both","RMR"
"Triakidae","Mustelus antarcticus","Gummy shark","Elasmo","Benthopelagic","Victoria, Australia",13,"Molina, J. M., Finotto, L., Walker, T. I., & Reina, R. D. (2020). The effect of gillnet capture on the metabolic rate of two shark species with contrasting lifestyles.ÊJournal of Experimental Marine Biology and Ecology,Ê526, 151354.",4343.76923076923,16,1.40306333661815,6.9,16,5.5,0.318764098704597,"Both","RMR"
"Serranidae","Mycteroperca microlepis","Gag grouper","Teleost","Benthic","Eastern Gulf of Mexico",13,"Kline, R. J. (2004).ÊMETABOLIC RATE OF THE GAG GROUPERÊ(Doctoral dissertation, University of Florida).",1943,30,0.602998488881668,3,30,4.72143361707247,0.34501951674536,"BigN","RMR"
"Serranidae","Mycteroperca microlepis","Gag grouper","Teleost","Benthic","Eastern Gulf of Mexico",13,"Kline, R. J. (2004).ÊMETABOLIC RATE OF THE GAG GROUPERÊ(Doctoral dissertation, University of Florida).",1900,15,0.289179788201217,3,30,4.72143361707247,0.34501951674536,"MeanT","RMR"
"Myliobatidae","Myliobatis californica","Bat ray","Elasmo","Benthopelagic","Tomales Bay, CA",6,"Hopkins, T. E. and Cech Jr., J. J. (1994) Effect of temperature on oxygen consumption of the bat ray, Myliobatis californica (Chondrichthyes, Myliobatididae). Copeia 1994, 529-532.",5042,14,0.779191055260665,5,24,1.9,0.296244783674833,"Both","RMR"
"Carcharhinidae","Negaprion brevirostris","Lemon shark","Elasmo","Pelagic","Florida Keys, Eastern GOM",20,"Original ref: Lear et al 2017; from supplementary material of Ste-Marie, E., Watanabe, Y. Y., Semmens, J. M., Marcoux, M., & Hussey, N. E. (2020). A first look at the metabolic rate of Greenland sharks (Somniosus microcephalus) in the Canadian Arctic.ÊScientific reports,Ê10(1), 19297.",2770,20.6,0.695431583333333,12.7,37,2,0.151797972475082,"Both","RMR"
"Salmonidae","Oncorhynchus gorbuscha","Pink salmon","Teleost","Pelagic","Harrison River BC, Canada",NA,"Clark, T. D., Jeffries, K. M., Hinch, S. G., & Farrell, A. P. (2011). Exceptional aerobic scope and cardiovascular performance of pink salmon (Oncorhynchus gorbuscha) may underlie resilience in a warming climate. The Journal of Experimental Biology, 214(18), 3074-3081.",1600,15,0.88125,2,3,223.06625670706,1.03421106681648,"Both","RMR"
"Salmonidae","Oncorhynchus nerka","Sockeye salmon","Teleost","Pelagic","(Lower) Adams River stock",15,"Steinhausen, M. F., Sandblom, E., Eliason, E. J., Verhille, C., & Farrell, A. P. (2008). The effect of acute temperature increases on the cardiorespiratory performance of resting and swimming sockeye salmon (Oncorhynchus nerka).ÊJournal of Experimental Biology,Ê211(24), 3915-3926.",2550,15,1.07690776809,4,5,1526.46979920507,0.85252476725294,"Both","RMR"
"Sparidae","Pagrus auratus","Australasian snapper","Teleost","Benthopelagic","Nelson, South Island, NZ",8,"Flikac, T., Cook, D. G., & Davison, W. (2020). The effect of temperature and meal size on the aerobic scope and specific dynamic action of two temperate New Zealand finfish Chrysophrys auratus and Aldrichetta forsteri.ÊJournal of Comparative Physiology B,Ê190(2), 169-183.",100,17,0.0931520033696272,3,65,17.2208158198723,0.90528284548891,"Both","RMR"
"Sparidae","Pagrus major","Red sea bream","Teleost","Benthopelagic","Kinki University, Japan",5,"Yasuda, T., Komeyama, K., Kato, K., & Mitsunaga, Y. (2012). Use of acceleration loggers in aquaculture to determine net-cage use and field metabolic rates in red sea bream Pagrus major.ÊFisheries Science,Ê78, 229-235.",900,20,0.48645,3,16,5.70053584727235,0.261057239375476,"Both","RMR"
"Pleuronectidae","Platichthys stellatus","Starry flounder","Teleost","Benthic","Orcas Island, Washington State",8,"Watters, K. W., & Smith, L. S. (1973). Respiratory dynamics of the starry flounder Platichthys stellatus in response to low oxygen and high temperature.ÊMarine Biology,Ê19, 133-148.",1340.375,10.8,0.175400634765625,3,17,424.504771172307,0.737489784276582,"BigN","RMR"
"Pleuronectidae","Platichthys stellatus","Starry flounder","Teleost","Benthic","Orcas Island, Washington State",6,"Watters, K. W., & Smith, L. S. (1973). Respiratory dynamics of the starry flounder Platichthys stellatus in response to low oxygen and high temperature.ÊMarine Biology,Ê19, 133-148.",1303.833333,18.91666667,0.371848920314895,3,17,424.504771172307,0.737489784276582,"MeanT","RMR"
"Pleuronectidae","Pleuronectes platessa","Plaice","Teleost","Benthic","Aberdeenshire",10,"Edwards, R. R. C. (1971). An assessment of the energy cost of gill ventilation in the plaice (Pleuronectes platessa L.).ÊComparative Biochemistry and Physiology Part A: Physiology,Ê40(2), 391-398.",226,10,0.03785662,2.9,28,3.73365884598347,0.369287502255818,"BigN","RMR"
"Pleuronectidae","Pleuronectes platessa","Plaice","Teleost","Benthic","North Sea, off Aberdeen",5,"Priede, I. G., and Holliday, F. G. T. (1980) The us of a new tilting tunnel respirometer to investigate some aspects of metabolism and swimming activity of the plaice (Pleuronectes platessa L.). Journal of Experimental Biology 85, 295-309",281.16,15,0.0560626011,2.9,28,3.73365884598347,0.369287502255818,"MeanT","RMR"
"Gadidae","Pollachius virens","Saithe","Teleost","Pelagic","Somewhere around Scotland, UK",10,"Tytler (1977), The influence of swimming on performance on the metabolic rate of gadoid fish in: FISH, O. G. (2013, October). Peter Tytler. In Physiology and Behaviour of Marine Organisms: Proceedings of the 12th European Symposium on Marine Biology, Stirling, Scotland, September 1977 (p. 83). Elsevier.",151.8,10,0.0582659,4.6,25,151.993716652621,0.650271661190961,"BigN","RMR"
"Gadidae","Pollachius virens","Saithe","Teleost","Pelagic","Denmark",8,"Steinhausen, M. F., Steffensen, J. F., and Andersen, N. G. (2005) Tail beat frequency as a predictor of swimming speed and oxygen consumption of saithe (Pollachius virens) and whiting (Merlangius merlangus) during forced swimming. Marine Biology 148, 197-204.",485,10,0.12879175,4.6,25,151.993716652621,0.650271661190961,"MeanT","RMR"
"Pomatomidae","Pomatomus saltatrix","Bluefish","Teleost","Pelagic","Mid-Atlantic waters, USA",NA,"Freadman, M. A. (1979). Swimming energetics of striped bass (Morone saxatilis) and bluefish (Pomatomus saltatrix): gill ventilation and swimming metabolism. Journal of Experimental Biology, 83(1), 217-230.Freadman 1979",217,15,0.132587,1,15,1.39818401368535,0.386985906847656,"Both","RMR"
"Pristidae","Pristis pristis","Largetooth sawfish","Elasmo","Benthic","Fitzroy River, Western Australia",5,"Original ref: Lear et al 2020; from supplementary material of Ste-Marie, E., Watanabe, Y. Y., Semmens, J. M., Marcoux, M., & Hussey, N. E. (2020). A first look at the metabolic rate of Greenland sharks (Somniosus microcephalus) in the Canadian Arctic.ÊScientific reports,Ê10(1), 19297.",2350,20.1,0.228661477193568,8.5,35,3.65,0.262409067120729,"Both","RMR"
