"scientific_name","family","common_name","teleost_or_elasmo","mr_raw_mg_per_kg_per_h","mr_raw_data_or_mean","body_mass_in_grams","mass_raw_data_or_mean","trophic_position","tro_standard_error"
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",632190,"Raw",2460,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",574460,"Raw",3020,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",113980,"Raw",738,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",150430,"Raw",715,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",65460,"Raw",439,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",112760,"Raw",697,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",1105570,"Raw",4440,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",562030,"Raw",2300,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",358010,"Raw",1700,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",779730,"Raw",3820,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",290830,"Raw",1620,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",945430,"Raw",3540,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",5790,"Raw",38.7,NA,NA,NA
"Heterodontus francisci","Heterodontidae","Horn shark","Elasmo",9270,"Raw",59,NA,NA,NA
"Dicentrarchus labrax","Moronidae","European bass","Teleost",441.1,"Mean",200,"Mean",3.5,0.5
"Dicentrarchus labrax","Moronidae","European bass","Teleost",283,"Mean",514,"Mean",3.5,0.5
"Triakis semifasciata","Triakidae","Leopard shark","Elasmo",62,"Mean",4000,"Mean",3.7,0.16
"Engraulis ringens","Engraulidae","Peruvian anchovetta","Teleost",10.9252956666667,"Mean",12.6,"Mean",2.9,0.38
"Engraulis ringens","Engraulidae","Peruvian anchovetta","Teleost",12.0235956666667,"Mean",12.6,"Mean",2.9,0.38
"Engraulis ringens","Engraulidae","Peruvian anchovetta","Teleost",13.2338176666667,"Mean",12.6,"Mean",2.9,0.38
"Engraulis ringens","Engraulidae","Peruvian anchovetta","Teleost",14.56555,"Mean",12.6,"Mean",2.9,0.38
"Engraulis ringens","Engraulidae","Peruvian anchovetta","Teleost",16.031519,"Mean",12.6,"Mean",2.9,0.38
"Engraulis ringens","Engraulidae","Peruvian anchovetta","Teleost",17.6456713333333,"Mean",12.6,"Mean",2.9,0.38
"Engraulis ringens","Engraulidae","Peruvian anchovetta","Teleost",19.4203846666667,"Mean",12.6,"Mean",2.9,0.38
"Sardinops sagax","Clupeidae","Pacific sardine","Teleost",9.72954333333333,"Mean",3.2,"Mean",NA,NA
"Sardinops sagax","Clupeidae","Pacific sardine","Teleost",11.15559,"Mean",3.2,"Mean",NA,NA
"Sardinops sagax","Clupeidae","Pacific sardine","Teleost",12.7890933333333,"Mean",3.2,"Mean",NA,NA
"Sardinops sagax","Clupeidae","Pacific sardine","Teleost",14.6631766666667,"Mean",3.2,"Mean",NA,NA
"Sardinops sagax","Clupeidae","Pacific sardine","Teleost",16.8109633333333,"Mean",3.2,"Mean",NA,NA
"Sardinops sagax","Clupeidae","Pacific sardine","Teleost",19.27255,"Mean",3.2,"Mean",NA,NA
"Sardinops sagax","Clupeidae","Pacific sardine","Teleost",22.09675,"Mean",3.2,"Mean",NA,NA
"Micropogonias undulatus","Sciaenidae","Atlantic croaker","Teleost",755.9,"Mean",274,"Mean",4,0.5
"Pomatomus saltatrix","Pomatomidae","Bluefish","Teleost",114620,"Mean",219,"Mean",4.5,0.3
"Scophthalmus maximus","Scophthalmidae","Turbot","Teleost",176,"Mean",450,"Mean",NA,NA
"Oncorhynchus gorbuscha","Salmonidae","Pink salmon","Teleost",1387800,"Mean",1600,"Mean",NA,NA
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",84.84019,"Raw",1195,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",124.48949,"Raw",1428,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",114.02496,"Raw",1246,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",104.1664,"Raw",1255,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",110.06664,"Raw",1394,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",77.8395,"Raw",1105,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",96.68826,"Raw",1353,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",96.84752,"Raw",843,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",81.17114,"Raw",1484,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",108.66276,"Raw",1235.5,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",70.43978,"Raw",1234.5,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",83.55986,"Raw",1268,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",59.14273,"Raw",1394,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",130.53936,"Raw",1182.5,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",143.80711,"Raw",1302,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",70.75198,"Raw",838,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",85.26038,"Raw",1484,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",89.50494,"Raw",1235.5,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",75.23505,"Raw",1234.5,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",80.51832,"Raw",1182.5,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",107.61196,"Raw",1394,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",80.21703,"Raw",836,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",107.79241,"Raw",1302,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",81.98143,"Raw",838,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",132.34892,"Raw",1257,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",51.11834,"Raw",1829.5,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",100.73816,"Raw",1385,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",65.62464,"Raw",1950,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",50.22461,"Raw",1334,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",105.02067,"Raw",1324,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",148.72524,"Raw",1160,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",82.23437,"Raw",1747.5,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",95.14443,"Raw",1365,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",56.6263,"Raw",2115,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",104.66185,"Raw",1414,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",105.80546,"Raw",1229,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",228.06657,"Raw",1132,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",103.35637,"Raw",1278,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",79.37166,"Raw",923,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",112.99128,"Raw",1374,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",162.4333,"Raw",1119,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",96.79206,"Raw",1319,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",114.3027,"Raw",889,"Raw",3.9,0.26
"Rostroraja eglanteria","Rajidae","Clearnose skate","Elasmo",73.02049,"Raw",1334,"Raw",3.9,0.26
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",22.9358592,"Raw",850,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",22.77234,"Raw",2910,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",22.8376128,"Raw",1800,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",19.73341,"Raw",1750,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",27.44535,"Raw",1640,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",10.8440512,"Raw",2020,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",36.3826,"Raw",1000,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",21.62254,"Raw",1140,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",34.597216,"Raw",3230,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",41.37244,"Raw",670,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",19.00741,"Raw",1500,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",80.2464256,"Raw",2520,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",13.98619,"Raw",1760,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",54.871456,"Raw",1930,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",15.9866,"Raw",920,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",30.5682,"Raw",1020,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",17.9794656,"Raw",3030,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",19.2959,"Raw",1190,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",30.82393,"Raw",900,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",10.03341,"Raw",2350,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",22.00645,"Raw",1620,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",12.3888,"Raw",1470,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",25.6513056,"Raw",1790,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",35.02538,"Raw",600,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",23.319,"Raw",660,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",19.18445,"Raw",950,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",17.79146,"Raw",620,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",36.401872,"Raw",680,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",16.08374,"Raw",1220,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",34.3693376,"Raw",710,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",24.89989,"Raw",1250,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",30.0738848,"Raw",770,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",46.71109,"Raw",960,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",48.712288,"Raw",650,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",40.16587,"Raw",1590,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",57.222336,"Raw",570,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",11.78767,"Raw",1160,"Raw",4.2,0.27
"Amblyraja radiata","Rajidae","Thorny skate","Elasmo",43.352384,"Raw",710,"Raw",4.2,0.27
"Mallotus villosus","Osmeridae","Capelin","Teleost",446.7,"Mean",26.83,"Middle",3.2,0.09
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",56.5033952921348,"Raw",15.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",59.6659482808989,"Raw",23.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",50.8464881573034,"Raw",21.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",93.1923078314607,"Raw",20,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",71.7621793033708,"Raw",20,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",64.2757827977528,"Raw",19.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",65.7061068314607,"Raw",20,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",84.1542170786517,"Raw",19.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",57.5017845955056,"Raw",19.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",70.565991011236,"Raw",18.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",70.9145478876405,"Raw",18.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",81.1319061685393,"Raw",16.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",65.3458721460674,"Raw",19,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",87.157708752809,"Raw",21,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",76.5714297303371,"Raw",21,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",78.8186808089888,"Raw",20.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",81.3445640449438,"Raw",20.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",54.0261280561798,"Raw",19.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",65.6850788764045,"Raw",20.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",99.3136161348315,"Raw",21.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",46.9273337191011,"Raw",18.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",26.1050423595506,"Raw",16,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",61.2799116404494,"Raw",18.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",32.4565934382022,"Raw",18.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",61.4304916516854,"Raw",17.5,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",31.4540546292135,"Raw",16,"Raw",NA,NA
"Hemiscyllium ocellatum","Hemiscylliidae","Epaulette shark","Elasmo",78.0788185505618,"Raw",18.20769231,"Raw",NA,NA
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4740,"Raw",13,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",3150,"Raw",12,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",3530,"Raw",14,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",3950,"Raw",11,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4170,"Raw",14,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",3120,"Raw",13,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",3710,"Raw",13,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4860,"Raw",11,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4760,"Raw",12,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",5960,"Raw",12,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",5540,"Raw",14,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",6500,"Raw",15,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",3960,"Raw",14,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4850,"Raw",12,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4570,"Raw",13,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4810,"Raw",11,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4450,"Raw",11,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",5820,"Raw",10,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",3760,"Raw",11,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",5800,"Raw",11,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4910,"Raw",13,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4980,"Raw",26,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4660,"Raw",27,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",5600,"Raw",24,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",5090,"Raw",21,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",6140,"Raw",27,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",7860,"Raw",27,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",5900,"Raw",27,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",6690,"Raw",25,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4990,"Raw",26,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",6260,"Raw",23,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",7210,"Raw",27,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",6200,"Raw",21,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",6120,"Raw",27,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4920,"Raw",26,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4350,"Raw",25,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4060,"Raw",25,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",3090,"Raw",27,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",2960,"Raw",25,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4260,"Raw",27,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",3210,"Raw",27,"Raw",3.6,0.13
"Leucoraja erinacea","Rajidae","Little skate","Elasmo",4510,"Raw",27,"Raw",3.6,0.13
